sentence1,sentence2,gpt-3.5-turbo_response,gpt3.5-turbo_rating
He had the alcoholic punch.,He had the strongest punch.,2.0,2.0
He had the alcoholic punch.,He had the quickest punch.,2.0,2.0
He had the fruit punch.,He had the strongest punch.,2.0,2.0
He had the fruit punch.,He had the quickest punch.,1.0,1.0
He had the alcoholic punch.,He had the fruit punch.,4.0,4.0
He had the strongest punch.,He had the quickest punch.,4.0,4.0
She had a brilliant pupil.,She had a dilated pupil.,2.0,2.0
She had a brilliant pupil.,She had a cloudy pupil.,3.0,3.0
She had an interested pupil.,She had a dilated pupil.,1.0,1.0
She had an interested pupil.,She had a cloudy pupil.,3.0,3.0
She had a brilliant pupil.,She had an interested pupil.,4.0,4.0
She had a dilated pupil.,She had a cloudy pupil.,4.0,4.0
He pushed the cocaine.,He pushed the bed.,4.0,4.0
He pushed the cocaine.,He pushed the desk.,4.0,4.0
He pushed the drugs.,He pushed the bed.,4.0,4.0
He pushed the drugs.,He pushed the desk.,3.0,3.0
He pushed the cocaine.,He pushed the drugs.,4.0,4.0
He pushed the bed.,He pushed the desk.,4.0,4.0
That was a loud racket.,That was a badminton racket.,1.0,1.0
That was a loud racket.,That was a tennis racket.,1.0,1.0
That was an annoying racket.,That was a badminton racket.,0.0,0.0
That was an annoying racket.,That was a tennis racket.,1.0,1.0
That was a loud racket.,That was an annoying racket.,4.0,4.0
That was a badminton racket.,That was a tennis racket.,4.0,4.0
He liked electronic rock.,He liked limestone rock.,2.0,2.0
He liked electronic rock.,He liked granite rock.,2.0,2.0
He liked alternative rock.,He liked limestone rock.,3.0,3.0
He liked alternative rock.,He liked granite rock.,2.0,2.0
He liked electronic rock.,He liked alternative rock.,4.0,4.0
He liked limestone rock.,He liked granite rock.,4.0,4.0
She ran the marathon.,She ran the shop.,1.0,1.0
She ran the marathon.,She ran the company.,1.0,1.0
She ran the race.,She ran the shop.,2.0,2.0
She ran the race.,She ran the company.,2.0,2.0
She ran the marathon.,She ran the race.,4.0,4.0
She ran the shop.,She ran the company.,4.0,4.0
He saw the wise sage.,He saw the fragrant sage.,2.0,2.0
He saw the wise sage.,He saw the bushy sage.,2.0,2.0
He saw the renowned sage.,He saw the fragrant sage.,2.0,2.0
He saw the renowned sage.,He saw the bushy sage.,2.0,2.0
He saw the wise sage.,He saw the renowned sage.,4.0,4.0
He saw the fragrant sage.,He saw the bushy sage.,4.0,4.0
It was a fish scale.,It was a music scale.,1.0,1.0
It was a fish scale.,It was a major scale.,1.0,1.0
It was a lizard scale.,It was a music scale.,1.0,1.0
It was a lizard scale.,It was a major scale.,1.0,1.0
It was a fish scale.,It was a lizard scale.,4.0,4.0
It was a music scale.,It was a major scale.,4.0,4.0
It was a touching scene.,It was a nature scene.,3.0,3.0
It was a touching scene.,It was a panoramic scene.,3.0,3.0
It was a well-acted scene.,It was a nature scene.,2.0,2.0
It was a well-acted scene.,It was a panoramic scene.,2.0,2.0
It was a touching scene.,It was a well-acted scene.,4.0,4.0
It was a nature scene.,It was a panoramic scene.,4.0,4.0
It was a gold seal.,It was a circus seal.,1.0,1.0
It was a gold seal.,It was a trained seal.,1.0,1.0
It was a certified seal.,It was a circus seal.,1.0,1.0
It was a certified seal.,It was a trained seal.,2.0,2.0
It was a gold seal.,It was a certified seal.,4.0,4.0
It was a circus seal.,It was a trained seal.,4.0,4.0
She served a pie.,She served a summons.,2.0,2.0
She served a pie.,She served a warrant.,2.0,2.0
She served a lasagna.,She served a summons.,2.0,2.0
She served a lasagna.,She served a warrant.,2.0,2.0
She served a pie.,She served a lasagna.,4.0,4.0
She served a summons.,She served a warrant.,4.0,4.0
The girl sang.,The bird sang.,4.0,4.0
The girl sang.,The cricket sang.,3.0,3.0
The choir sang.,The bird sang.,4.0,4.0
The choir sang.,The cricket sang.,3.0,3.0
The girl sang.,The choir sang.,4.0,4.0
The bird sang.,The cricket sang.,4.0,4.0
He spilled the drink.,He spilled the news.,3.0,3.0
He spilled the drink.,He spilled the secret.,3.0,3.0
He spilled the flour.,He spilled the news.,3.0,3.0
He spilled the flour.,He spilled the secret.,3.0,3.0
He spilled the drink.,He spilled the flour.,4.0,4.0
He spilled the news.,He spilled the secret.,4.0,4.0
He staked his horse.,He staked his name.,2.0,2.0
He staked his horse.,He staked his claim.,3.0,3.0
He staked his tent.,He staked his name.,2.0,2.0
He staked his tent.,He staked his claim.,3.0,3.0
He staked his horse.,He staked his tent.,4.0,4.0
He staked his name.,He staked his claim.,4.0,4.0
They stalled the truck.,They stalled the horse.,3.0,3.0
They stalled the truck.,They stalled the pig.,3.0,3.0
They stalled the bus.,They stalled the horse.,3.0,3.0
They stalled the bus.,They stalled the pig.,2.0,2.0
They stalled the truck.,They stalled the bus.,4.0,4.0
They stalled the horse.,They stalled the pig.,4.0,4.0
They stayed wet.,They stayed nearby.,3.0,3.0
They stayed wet.,They stayed overnight.,3.0,3.0
They stayed cold.,They stayed nearby.,3.0,3.0
They stayed cold.,They stayed overnight.,2.0,2.0
They stayed wet.,They stayed cold.,4.0,4.0
They stayed nearby.,They stayed overnight.,4.0,4.0
He tapped the keg.,He tapped the stick.,3.0,3.0
He tapped the keg.,He tapped the drums.,3.0,3.0
He tapped the beer.,He tapped the stick.,3.0,3.0
He tapped the beer.,He tapped the drums.,3.0,3.0
He tapped the keg.,He tapped the beer.,4.0,4.0
He tapped the stick.,He tapped the drums.,4.0,4.0
He used the scotch tape.,He used the interview tape.,2.0,2.0
He used the scotch tape.,He used the video tape.,2.0,2.0
He used the double-sided tape.,He used the interview tape.,2.0,2.0
He used the double-sided tape.,He used the video tape.,2.0,2.0
He used the scotch tape.,He used the double-sided tape.,4.0,4.0
He used the interview tape.,He used the video tape.,4.0,4.0
It was a winter term.,It was a legal term.,1.0,1.0
It was a winter term.,It was a technical term.,2.0,2.0
It was a fall term.,It was a legal term.,2.0,2.0
It was a fall term.,It was a technical term.,2.0,2.0
It was a winter term.,It was a fall term.,4.0,4.0
It was a legal term.,It was a technical term.,4.0,4.0
It was a clock tick.,It was a parasitic tick.,0.0,0.0
It was a clock tick.,It was a diseased tick.,0.0,0.0
It was an audible tick.,It was a parasitic tick.,1.0,1.0
It was an audible tick.,It was a diseased tick.,1.0,1.0
It was a clock tick.,It was an audible tick.,4.0,4.0
It was a parasitic tick.,It was a diseased tick.,4.0,4.0
It was a generous tip.,It was a pencil tip.,1.0,1.0
It was a generous tip.,It was a finger tip.,1.0,1.0
It was a stingy tip.,It was a pencil tip.,1.0,1.0
It was a stingy tip.,It was a finger tip.,1.0,1.0
It was a generous tip.,It was a stingy tip.,4.0,4.0
It was a pencil tip.,It was a finger tip.,3.0,3.0
She liked the essay title.,She liked the academic title.,3.0,3.0
She liked the essay title.,She liked the professional title.,3.0,3.0
She liked the poem title.,She liked the academic title.,2.0,2.0
She liked the poem title.,She liked the professional title.,3.0,3.0
She liked the essay title.,She liked the poem title.,4.0,4.0
She liked the academic title.,She liked the professional title.,4.0,4.0
They toasted the bread.,They toasted the host.,3.0,3.0
They toasted the bread.,They toasted the bride.,3.0,3.0
They toasted the strudel.,They toasted the host.,4.0,4.0
They toasted the strudel.,They toasted the bride.,4.0,4.0
They toasted the bread.,They toasted the strudel.,4.0,4.0
They toasted the host.,They toasted the bride.,4.0,4.0
It was a costly toll.,It was a loud toll.,2.0,2.0
It was a costly toll.,It was a bell toll.,2.0,2.0
It was a road toll.,It was a loud toll.,3.0,3.0
It was a road toll.,It was a bell toll.,2.0,2.0
It was a costly toll.,It was a road toll.,3.0,3.0
It was a loud toll.,It was a bell toll.,4.0,4.0
She saw the train tracks.,She saw the moose tracks.,3.0,3.0
She saw the train tracks.,She saw the snowshoe tracks.,3.0,3.0
She saw the trolley tracks.,She saw the moose tracks.,3.0,3.0
She saw the trolley tracks.,She saw the snowshoe tracks.,3.0,3.0
She saw the train tracks.,She saw the trolley tracks.,4.0,4.0
She saw the moose tracks.,She saw the snowshoe tracks.,4.0,4.0
It was five yards.,They were big yards.,2.0,2.0
It was five yards.,They were cluttered yards.,1.0,1.0
It was ten yards.,They were big yards.,2.0,2.0
It was ten yards.,They were cluttered yards.,2.0,2.0
It was five yards.,It was ten yards.,4.0,4.0
They were big yards.,They were cluttered yards.,4.0,4.0
